!SIL	SIL
SIL	SIL
<aah>	SIL
<bang>	SIL
<beep>	SIL
<bn>	SIL
<br>	SIL
<bs>	SIL
<burp>	SIL
<cough>	SIL
<ct>	SIL	
<hmm>	SIL
<horn>	SIL
<hr>	SIL
<laugh>	SIL
<ln>	SIL
<ls>	SIL
<ns>	SIL
<sneeze>	SIL	
<sniff>	SIL
<tc>	SIL
<uu>	SIL
<vn>	SIL
अ	a
अँफिसर	a mq ph i s a r
अंक	a q k
अंकल	a q k a l
अंकुश	a q k u sh
अंकों	a q k o q
अंग	a q g
अंगरेजी	a q g r ee j ii
अंगारों	a q g aa r o q
अंगुली	a q g u l ii
अंगों	a q g o q
अंग्रेंजों	a q g r ee q j o q
अंग्रेज	a q g r ee j
अंग्रेजी	a q g r ee j ii
अंग्रेजों	a q g r ee j o q
अंचल	a q c a l
अंचलों	a q c l o q
अंजलि	a q j l i
अंजाद	a q j aa d
अंजान	a q j aa n
अंजाम	a q j aa m
अंजुमन	a q j u m a n
अंजौरा	a q j ou r aa
अंटे	a q tx ee
अंट्ठानवे	a q tx txh aa n w ee
अंठावन	a q txh aa w a n
अंडर	a q dx a r
अंडरग्रेजुएट	a q dx r a g r ee j u ee tx
अंत	a q t
अंतगर्त	a q t g a r t
अंतत	a q t a t
अंततइससे	a q t t i s s ee
अंतनिर्हित	a q t n i r h i t
अंतर	a q t a r
अंतरगत	a q t a r g a t
अंतरराज्यीय	a q t r a r aa j y ii y
अंतरराष्ट्रीय	a q t r a r aa sx tx r ii y
अंतरा	a q t r aa
अंतराज्यीय	a q t r aa j y ii y
अंतराल	a q t r aa l
अंतराष्ट्रीय	a q t r aa sx tx r ii y
अंतरिक्ष	a q t r i k sx
अंतरिम	a q t r i m
अंतरीक्ष	a q t r ii k sx
अंतर्क्रियाओं	a q t a r k r i y aa o q
अंतर्गत	a q t a r g a t
अंतर्द्वन्द्व	a q t a r d w a n d w
अंतर्निहित	a q t a r n i h i t
अंतर्राष्ट्रीय	a q t a r r aa sx tx r ii y
अंतर्विरोध	a q t a r w i r o dh
अंतिम	a q t i m
अंतीम	a q t ii m
अंदर	a q d a r
अंदरूनी	a q d r uu n ii
अंदाज	a q d aa j
अंदाज़	a q d aa z
अंदाजा	a q d aa j aa
अंदेशा	a q d ee sh aa
अंदेशे	a q d ee sh ee
अंधभक्ति	a q dh bh a k t i
अंधविश्वास	a q dh w i sh w aa s
अंधश्रद्धा	a q dh a sh r a d dh aa
अंधाधुंध	a q dh aa dh u q dh
अंधाधुध	a q dh aa dh u dh
अंधे	a q dh ee
अंधेर	a q dh ee r
अंधेरे	a q dh ee r ee
अंपायर	a q p aa y a r
अंबा	a q b aa
अंबानी	a q b aa n ii
अंबाला	a q b aa l aa
अंबेडकर	a q b ee dx k a r
अंश	a q sh
अंशदान	a q sh d aa n
अंशधारकों	a q sh dh aa r k o q
अंसारी	a q s aa r ii
अंसारीभारत	a q s aa r ii bh aa r a t
अकरम	a k r a m
अकर्मण्यता	a k a r m a nx y a t aa
अकसर	a k s a r
अकाउंट	a k aa u q tx
अकाउंटिंग	a k aa u q tx i q g
अकाउंटेंट	a k aa u q tx ee q tx
अकाउंटेंटपदों	a k aa u q tx ee q tx a p a d o q
अकाउंट्स	a k aa u q tx s
अकादमिक	a k aa d m i k
अकारण	a k aa r a nx
अकाल	a k aa l
अकाली	a k aa l ii
अकीरा	a k ii r aa
अकुंश	a k u q sh
अकुशलता	a k u sh a l t aa
अकूत	a k uu t
अकेला	a k ee l aa
अकेले	a k ee l ee
अक्टरेस	a k tx a r ee s
अक्टरेस्	a k tx a r ee s
अक्टूबर	a k tx uu b a r
अक्ट्रेस	a k tx r ee s
अक्तूबर	a k t uu b a r
अक्षय	a k sx a y
अक्षर	a k sx a r
अक्षरा	a k sx a r aa
अक्षुण्ण	a k sx u nx nx
अक्सर	a k s a r
अखबार	a kh b aa r
अखबारों	a kh b aa r o q
अखाड़ा	a kh aa dxq aa
अखिल	a kh i l
अखिलेश	a kh i l ee sh
अख्तर	a kh t a r
अगर	a g a r
अगरि	a g r i
अगलभी	a g a l bh ii
अगला	a g l aa
अगली	a g l ii
अगले	a g l ee
अगस्त	a g a s t
अगस्ता	a g a s t aa
अगस्तावेस्टलैंड	a g a s t aa w ee s tx a l ei q dx
अगुआई	a g u aa ii
अगुवाई	a g u w aa ii
अगेंस्ट	a g ee q s tx
अग्नता	a g n a t aa
अग्निहोत्री	a g n i h o t r ii
अग्रणी	a g r a nx ii
अग्रवाल	a g r a w aa l
अग्रसर	a g r a s a r
अग्रिम	a g r i m
अग्रेसिव	a g r ee s i w
अघोषित	a gh o sx i t
अचरज	a c r a j
अचानक	a c aa n a k
अचीवमेंट	a c ii w m ee q tx
अच्छला	a c ch a l aa
अच्छहा	a c ch a h aa
अच्छा	a c ch aa
अच्छि	a c ch i
अच्छी	a c ch ii
अच्छे	a c ch ee
अछि	a ch i
अछूती	a ch uu t ii
अछूते	a ch uu t ee
अजनता	a j a n t aa
अजन्ता	a j a n t aa
अजन्मे	a j a n m ee
अजब	a j a b
अजमेर	a j m ee r
अजय	a j a y
अजहर	a j h a r
अजहरि	a j a h r i
अजहरुददीन	a j h a r u d d ii n
अजहरुद्दीन	a j h a r u d d ii n
अज़हर	a z h a r
अजाक	a j aa k
अजादी	a j aa d ii
अजिंक्य	a j i q k y
अजीज	a j ii j
अजीत	a j ii t
अजीब	a j ii b
